User,Comment
Amir Hamza,Nothing to say
Nobabini Moni Lifestyle,Asolei moja pailam...savar e coming sultans dine
Mohammad Nayeem,শেষের কথাগুলো অনেক ভাল্লাগসে ভাই
Ali Akbar Tuhin,Food blogger der ekn income hobe Sultan dines theke.... Money talkes
Kawchar Mahmud Films,অনেক ভালো লাগলো ভাই
Afsara,Seriously Rafsan
Shuvo Turjo,
Saiful Islam,ভাই ওদেরকে একটু খেয়ে দেখাতে বলতেন আপনার সামনে।
preetam dhar,"ভাই আমিও পাইসিলাম চিকন হাড্ডির সাদা মাংসের পিস কাচ্চিতে। আগ্রাবাদ ,চট্টগ্রাম শাখা থেকে আনা  হইসিলো"
Sahed Alam Vlog,Just wow vhiya
Bidyut Hansda,এটা একমাত্র বাংলাদেশ এই সম্ভব।
Muhammad Nayeem,এটা আপনার সেরা ভিডিও ছিলো।
Preenon Digital,সুলতানস ডাইন যেটাই করুক না কেন....এই কয়েকদিন সুলতানস ডাইনের খাবার খাবেন কারন ওরা এই মুহুর্তে  ভুলেও খারাপ কিছু খাওয়াবে না
Mahbub Bhuiyan,Right
Reduan Islam Anik,Bhai prothom dikee shei moja paisi
Ahanaf Ahmed Ayan,Bring in gustis for as I like our vlogs very much
Md. Saiful Haque,
MD Sarowar Islam Munna,ভেজাল মামা ভেজাল
Imtiaz Ahmed,"Background  e 'who let the dogs  out"" song ta dile joss hoito...."
SM CG,"Sultan's dine এর রেপুটেশন খারাপ করতেই এই উদ্যোগ। 
যাই হোক সামনের সপ্তাহে যাচ্ছি বাঘের বিরিয়ানি খাইতে"
Muhammad Rasel,️️️
Marzan akhatar,Thik kotha blso vai
Rishad Was bee,I'm not emotional are you
Tarak Karmaker,"If you wish to change the situation positively,"
My Day,ভাই কুতার কাঁচি কেমন লাগলো
TB TAMIM,Daud Kim hairstyle
soniya rahmaan,last er kotha ta akdom right
sal sabil,Aww your hair ..man! You look damn hot today
Maysha Jahan,Last one
Md Saeidul Islam,Thanks rafsan
MhdR media,
Prima peer group,ভাইয়া DNA TEST করান তাহলে প্রমাণ হয়ে যাবে কুকুর নাকি খাসি
Moon Biswas,Last er kotha gula shei chilo vai️
Rakibul Hasan,Their only told ey... Ey..
Farjana sweety,রাফসান হকের রান্নার কথা মনে পড়ে গেল
Abir Ahamed,"last er 35 second er kotha gula joss lagce bhai 
Take love"
Payal life Style,0:25  0:38
The Food Capture,
GTA GAMER,
Ifat Khan,Rafsan vi....I want to meet u....
Md. Abul monsur,
Tishia Tasnim,আমাদের বাসার সামনের কুত্তা টা খুজে পাওয়া যাচ্ছে না
Shahanaz parvin sathi,যাহা রটে তার কিছু হইলেও ঘটে
রক্ত চুষা,ভালো লাগলো অনেক
Ashikur Rahman NaziL,শেষ কথাগুলো সুন্দর ।
Mirza Ahanaf,8.42
Mominor Islam Mahady,"বাংলাদেশে কি কি জানি হয় টাকা থাকলে ভিডিওর শেষে বললা কথা গুলো ভালো লাগলো, কথা গুলোর জন্য সাবস্ক্রাইব করাই যায়,সাবস্ক্রাইব করে দিলাম ️"
Nahil Hasan,Allar sristi
Farzana Jhorna,
Ms Diba,"আসলে আমি নিজেও জানি না তারা কিসের মাংস বিক্রি করেছে , তবে এইটা বলতে পারি অনেক কাচ্চি খেয়েছি যার মধ্যে চিকন হাড্ডি নরম মাংস এর পিস ও পেয়েছি । 4,5 মাসের খাসি ও জবাই করা হয় আর সেইটার ও হাড্ডি চিকন থাকে ।"
DAIYAN KHAN & MANHA KHAN,ভাইয়া আমি যে প্রশ্নটা আপনাকে করলাম আশা করি সেটার উত্তর আমাকে আপনি দিবেন
Observer,"Only For the last message, i liked this video."
Amal Das,0:46 was
Suman,ভাই এত কুকুর কোথা পাবে ৷
Gadgetoo,
Jannatul Ambia Dristy,️
md ahsan,
sr sabbir,vaiyar sesh kotha gula onk valo lagche
Mizan Rahman,️
Mahabubur Rahman,️
Siyam Ahmed Labib,Ses kotha gula valo lagse vai 🫶
Tanjima Hossain,যারা এই কুত্তার বিরানি বলছে তাদের ব্যাপারে তদন্ত করা দরকার যে ওরা কী সত্যিই করছে না উদ্দেশ্যমূলক করছে এটার একটা প্রমান সহ ব্যাখ্যা দরকার
Ms Farjana,তাদেরকেও একটু করে খাইয়ে  দেখানো হলে ভালো হতো।
Najah Fineline,
Ahemad Bro,
Reefat Alam,"That's really bad 
We want justice rasfan bro"
Fast and Furious,Sultan dain this is the best
CelelXeditz,0:34 Ronaldo photo on the background.
Md Tarikul Islam,Ore content re vai
Alf H Radi,Tnx for the video
Beautybithi,রাফসান ভাইয়া তোমার লাস্ট কথা গুলা ঠিক ছিলো
Maliha Tabassum,Bhai
Faiza,7:50 te dhora khacche
GamerBoy NadimFF,Vai apni ato funny kn
ay,"""eita Allah-r shirshti"""
md Shafiqul Islam Akash,Right bro
Sumaiya Sumu,Futfute sunod biriyani
MD SHAD,Lol  ১০০০০ টাকার জন্য এতো কিছু। আমি এবার নিশ্চিত সুলতান ডাইনে সমস্যা আছে
Mosleh Uddin,
প্রভা,2:29 মেয়ে হয়েও আমার হাত ওতটা সুন্দর নরম তুলতুলে না যতটা রাফসান রাফসান ভাইয়ার।
It's Ni ro b,Att the beginning Kuttar noise was so funny
Mimi Farzan,
Z & Z,"Bring Justice?প্রমাণ না হলে,যে গুজব ছড়িয়েছে তার যেন শাস্তি হয়। সারা দেশে যাদের ব্যবসা নষ্ট হল, তারা যেন জাস্টিস পায়।"
Sultana Kabir,They cooking denji from chainsaw man there
Afsana Begum,Age 3 ta cilo ekon 1 ta  .Sultan Dien  nia niseh
Electronics world,Ending XOSS
md badal ahmeed,nice
Salma Akter,Ekdom sotti kotha
A B I R,
Shopnil Mahmud,️️️️
Priyontika Priya,
Fahim Alam,It's so obvious ora ekhono Kukur er meat rakhbe na jodi use koreo thake. So I don't how this makes sense asking about it.
Ankush Fan,Awesome that
FA HIM,vai Bangladesh  kono din tick hoibo na ai jonno e ai obosta
Lin wan gaming,
Mr. Tanim,
Paracetamol Bhai,ভাই ওদের একটু খেয়ে দেখতে দিতেন
Tasnim Chowdhury,
Emon Mondol,Ei video er last er kothagula vallagse bhaiya
Reduan Jannat,কথা গুলো খুবই ভাল কিন্তু কবে হবে আমার দেশ
Nadim N. Zubary,
Zahid Hasan,Gulshan-2 er je GM video te kotha bollo oni eto bhalo na ja oni video te dekhanor try korlo. ami nijei onar unprofessional attitude peyechi onar theke. Actually bangladesh brand value hoye gele customer ke r keo value dite chai na. eitai holo problem.
2s   junaed,
Abu Saleh Shakib,0:41
SA SHARIF,️
Anika Afroj,This is the best vdo for u
JaiRa,Aaj jante parlam news ta...
pi Kurban,
Shadow 🧚,
Titan Gaming,I really liked this video for 9 times
Dap Bro,Intro da sei silo
Sayedee Hasan,"ভাই সমাধান খুঁজে পেলাম না,,"
Amir Hamza,
Raiyan,"6:12 ওদের খাওয়ালেন না কেন? 
ওরা খেয়ে দেখাতো।"
extra stupidiance,কে আল্লাহ্ কে ভালোবাসেন
Al-Sami [TCV],Chotobhai is in investigation...
alakar Pola,Rafsan bai aste aste marse
Mhmuda akter LABONI,Last kotha gulo joss
Kitty Mim,Woof woof
Sadia Lara,"বিজনেস এ প্রতিদ্বন্দিতা হয়,,
আর প্রতিদ্বন্দিতায় ষড়যন্ত্র হয়!
আমার মনে হয় এটা ষড়যন্ত্র"
Emran Hossain,"What type of food reviewer you are? 
I ate so many times in Sultan's dine. Can't we differentiate the taste between mutton & dog?"
Md Tanim,
Raider SHAWN,"@ rafsan the cgotovai
last er kotha gula valo lagsa onek"
Saikatul Jannat,"Hlw vaia , i need to talk with you , How i contact with you ?"
Nokibur Rahman,
Jd Dola,Rafsan vai er last er speech ta e thik chilo
Puja Sakari,Cute boy
Md Shibbir Ahmed,"ভাই আমি ও চাকরি  করি হুটেলে,  অনেক জামেলা করে লোক রা,,  খারাপ  বেবহার ও করে,৷ হিটাপের সাতে"
ShaKib Play’s,
Adnaan Hossen Yasin,
Yeasin Ali,
she.....,
keya Moni,আমার কুত্তাটা হারাইয়া গেছে
nayem pathan,"Nice your podokkhep 
Agiye jao bro agiye jao"
Sami Bin Salam,Which branch is this?
Montasir Anam Rabby,"In fact, do they enjoy the success of people by ruining their reputation??
such a lot of people around us
they need to be brought under the law and tried"
shohorcity,সুলতান ডাইন এর সবকিছু আমার পছন্দ আমি ওখানেই খাব সব সময়
Ferric Sulfate,যদি করেও থাকে এখন আর করবে না। সাবধান হয়ে গেছে। অন্তত এই এক মাস তো করার প্রশ্ন উঠেও না
Mez,Son said he eating dog food
Shahab Uddin Raju,
Freelancer Himel,khaite jokhon tomar bhaya bhoy e lagse taile abr full plate ei to khaila dekhlam!
Mariam's Diary 💝,
Md Sumon,"আরে ভাই বাংলাদেশের জন্য শুধু কান্না আসে কান্না কান্না বুক ফাটা কান্না, প্রতিবাদ প্রতিরোধ?"
Masrafee Shovon,কিচেনে শাওয়ার ক্যাপ ছাড়া কেমনে ডুকতে দিলো?
nazmul opu,
basudevmitra rahul,ভাই দিলেও কি তারা এখণ রেখে দিবে নাকি????তারা কি অত টা বোকা????এখণ সরিয়ে ফেলছে হয়তো।।।
Strawberry,I like your last bit
Billal Hossain Francis,Hahaha
Carat ARMY,Randomly একটা হাড়ি থেকে মাংস নিয়ে ওদের নিজেদেরকে খেতে বলেন..  যদি নিশ্চিন্তে ওরা খেয়ে নেয় তাহলে বুঝবো যে ভেজাল নেই।
urmi sunny,Dogs are really cute man
ROKEYA,"Oh i got it,Dall mei kuch Kala nehi heipura Dall hi Kala hei,you are very chalak bro by the way,moral of the story jaha rote taha kichuta hoyle o goteh..."
Rubaiya Islam,"ভাই, ওনাদেরকে কাচ্চির মাংস টা খাওয়ানোর দরকার ছিল। যদি হেজিটেট না করেই খেয়ে ফেলতেন ওরা, তাহলে একটা ট্রান্সপারেন্সি থাকত"
Meraz Mozumder,Last 9 -10 minutes er kotha gula
MD. Mehrab Hossain Khandoker,"veg biriyani stans are having good time posting online ""Marked safe from Kutta Biriyani""."
Mahadi Fahim,
Anne Hossain,Aamio oi din gesilam sultans dine a bone gula ato chikon silo !!! Ami ask koresilam bt bollo soto khashi
S M Aman ulla,"আসসালামু আলাইকুম ভাইয়া, 
আপনে প্রথম ভিডিও বানালেন কিন্তু আপনাকে ভিডিও বানাতে দেখছে তাদের এখানে, এটাও আপনার সামনে আপনাকে মিথ্যা কথা বলছে????"
keya Moni,
Mohammad Sujon Gazi,Sheser kotha valo laglo
Pj,
Nayan Sheikh,
Go With Soron,Paid review dissen kno vai
poggyi,"Actually sultan dines are selling new Chinese kachhi biryani, it's new one the menu"
Mia khalifa,9:57 Bangladesh
Faraz Hasan Official,8:23 second
Partho Robidas,Vai ekkattur tv tee news disee.....Sultan’s dine err... Khabar niyee
Hmab Siddique,ল্যাব টেস্ট ছাড়া উপায় নেই
Tamanna Kabir,
NAHIAN KHAN,BRO  SHOULD I RUN AWAY FROM BANGLADESH THEN
Abdullah Al Afif,Onek din pore ekta video bhallaglo
Foysal Hasan,Thanks
Imran Khan,
Humayun Shojol,vi sangbadik ra taka na paile emon e report kore...amader alakai o amon hoyse
Nikki Sundori,6:06 ডিএনএ টেস্ট
Sadia Shahana,9:52 woah
JRS Fun Tube,"Rafsan, I Think they should make biriani with your meat"
Imtiaz Parvez,Sesmes Rafsan vai o oder pokkhopati korte geche...etoi jdi valo hoto ora tahole oi customers der shothik ans keno dite pareni..keno gosht er poriman er shothik ans dite pareni magistrate er shamne??? Onek question ase... Youtubers der deke akhn prochar korbe amn
Mohammad Tarek,হোটেল খাবার না খাওয়া উচিত
shishir shishir,vai apni nije na kheye oderke khete dilei onek kichu clear hoye jeto
Ishtyaq Ahmed Asif,
Md Mamun,লাস্টের কথাগুলোই মুল কারণ সব অনিয়মের
Nafisa16🌸,"I am your biggest fan. 
Reply me, please."
HAUNTED VOICE /অদ-ভূত👹,Koto tk paican r kutter manso kamon laglo broo
Jahirul islam,Allahr srishti diye biriyani banano uchit na-
STRANGER PLAYS,Free dileo ar jiboneo khabo na bhai.
Jd Dola,Rafsan vai Facebook er photo er shathe akhonkar pic er kono mil nai
Robin Khan,এতো কিছু হওয়ার পর এখন কি আর কুকুর খাওয়াবে!
BD Sazzad,Last er ta TikToker
w3 gamer sk,ঐ গোসের টুকরাটা ওই ম্যানেজারকে খেতে বলতেন তাহলেই কিছুটা বোঝা যাইতো
TrapStar,
HM SOJIB TALUKDAR,সুলতান ডায়নাসোর
Suraiya islam Aporna,যা রটে তার কিছুটা হলেও বটে
mohammad mintu miah,
Anjuman Sneha,2 no gate is Chittagong
Faria Siraj,Onader khete bolten
Shariar Mugdho,আছি
Sizan Moral,Sultan dyne er promote hoice
Mizan Rahman,
Gaming With Istiak,"Everything is possible in Bangladesh Brother.. 
Right now it is a digital Sheikh hasina's Bangladesh. So, everything is possible In there"
maruf hossin ovi,Last Kotha gula true
Led Rassel,thik thik thik
Romania_Tanvir chowdhury,টাকা কত দিছে ভাই? /?
Md Kamrul Hasan,নাউযুবিল্লাহি মিন জালেক
Nobel Mahmud,Vai DNA test korale ki ber hoi na kotta naki ki? Eto kicho na kore DNA korok.
rashed,
Gamer Jahid,o vai maro moje maro
Rafi Muhammad Oli,where is question mark ?
RK Robot,Nice]
IRFAN AHMED MILON,Seser kotha gula valo chilo
Travel with Saiful Islam,
PTX.•NinJa•,গোস্তটি ল্যাব এ পাঠালে ভালো হবে!
Shahida Shirin Shirin,আসতাগফিরুল্লাহ
Md Sohid,Vaiya ami apnar big fan please reply me
farzana ahasan,"৫ কেজির খাসি দিয়ে কেমনে কাচ্চি বানায়??
৫ কেজির খাসির গায়ে মাংস থাকে কোন???"
Easin Molla,42 সেকেন্ড
OYON EDitZ,Tmi k bhai toddonto korar
Dm Mahmud,কম ওজনের খাসি দিবে কেনো? বড় খাসি দেওক। মিনিমাম ১০ কেজি খুব বেশি না।
msb tv,ভাই আগে ওদেরকে খাবান তাইলে বুজা যাবে এগুলা কিসের মাংস
Alex Mcbc,Ooo bhai
mishti choudhury,আর খাবো না বাবা
SADIA Nusrat,
F.K. Life Tutor,"৫ কেজির ও খাশসি হয়,  এরা ছাগল, না এরা  সাধারণ মানুষকে ছাগল মনে করে i Don't know"
ferdous akon,"কোন মিথ্যা অভিযোগে যেন কারো ব্যাবসা শেষ হয়ে না যায়। 
সেটা খুব সতর্কতার সাথে দেখা ও চ্যনেলগুলোকে সতর্কতার সাথে প্রচার করার অনুরোধ করছি। 
কোন প্রতিষ্ঠিত প্রতিষ্ঠান তার ব্রান্ড ভেলু কমাবার ঝুঁকি কেন নিবে।
খাবারের ফরেনসিক ল্যাব টেষ্ট করা উচিতছিলো অভিযোগ পাওয়ার পরই।"
Md babu,Manager 1video te bollo 2kg/2.5 kg khasi
MD: Anik Ahammed,
Graphic Designer,"ব‍্যক্তিগতভাবে ঘরের বানানো কাচ্চি সবচেয়ে ভালো হবে, মহিলা উদ‍্যোক্তা আপুদের কাচ্চি নিয়ে বড় লেভেলের উদ‍্যোগ গ্রহণ করা উচিত"
Md Kowsar Ahmed Md Kowsar Ahmed,ভাইয়া ইংরেজি  একটু কম করে বলবেন কারণ অনেক বয়স কতো লোক আপনার ভিডিও দেখে তারা ইংরেজি ভাষা বুঝতে সমস্যা হয়
NH,Absolutely right rafsan bro bangladeshi taka chara ar kichu boje na
Sarwat plays,Ami aitai bujlam na mohila ta ki biral er mangsho khaise? Like biral er mangsho bujlo kemne that's kinda sus
Dr. Amit Majumder,গরীবের জেমস্ বন্ড….
JB Biswas,"ভাই বিশ্বাস করবেন কিনা জানিনা আজকে আমি খাইতে গেছিলাম সুলতান ডাইনে, খাবারের সময় চারটা চুল পেয়েছি, পরে উনাদেরকে বলার পর উনারা খাবার চেঞ্জ করে দেয় কিন্তু আমার কাছে ভিডিও সহকারে আছে, এটা আমি অবশ্যই ফেসবুকে আপলোড করব। এদের খাবারের মান খুবই খারাপ, আল্লাহ জানে খাবারের পর আমার কি হবে।"
Aman Mehdi,when did you take the job for
Abdullah Al mamun,Lets form a justice league in bangladesh
TAREQUE MAHMOOD,How much you get from sultan dine.
Minha Rahman,Haaaaa ki khelam etodin️
Android phone Technology,বাইরে কি সত্যিই কুত্তা দিয়ে বিরিয়ানি
Murshed alam,কুক্তার বাচ্চা ফুট ফুটে সুন্দর।
FISHFRY,"BHAI ONADER KE AI MANGSOTA KHETE BOLBEN , TOKHON EE DHORAA PORBE"
shekh sopon,চোরে চুরি করে কি কখনো স্বীকার করে!
Ahammad Al Mamun 19-8347,eta tk dia PR er jonno dakse
Abraham Lincon,আমার দেশের ফুড ব্যবসা টাকে ধ্বংস করার চেষ্টা করছে.... কিন্তুু কেন?? এরা কারা??
jalal,Nice bai
soniya rahmaan,medical test a bojha jete pare bhaiya
uWuBot,Missing Arksine
Eshan Mustak,Rafsan er question gulo marattak
AKTER AYENA,
Muhammad  Farhan Rahman,"আপনি যখন  গোস্তো খাচ্ছিলেন তখন আপনি উনাদের  ও খেতে বলতেন তাহলেই বুঝা যেতো।
আপনি তো আবার টাকা খান নি??"
Rafiq Ullah,Je mangsho ta khai so oi ta amar priyo kukur Tommy are dodge er chilo
Abdullanirob,আপনার শেষ কথা গুলো শুনতে চাই।
Wrestling Beast 3,Bhai stadium a giye Khabar review koren
Zeehan Parvez,1:06
Mahin Rahman 2.0,Review video chilo eita
Jamel Hosen,"Hahahah vai asolei boi lagbe khaite 
Mon chaibena"
F͛A͛R͛I͛H͛A,
Tafsir Hossain Kamal,Vai  khashi ki matton?..
OMOR IBNA HASAN,DNA test korle e to hoy ??????
Mamun Ahmed,একটি ভালো মানের রেষ্টুরেন্ট এরকম করবে আমার বিশ্বাস হচ্ছে না কারন তারা কুটি টাকা ব্যবসা করছে
alin das,lol.
Today TikTok Competition Shorts,If dadal had a face
Galaxy,টাকার যন্য মানুষ গু ও খেতে পারে!!
bubbles,Keno tumi 1 piece mangso nia lab e jete parla na camera nia? Eto voy pele hobe na Rafsan!
rejaur rahman,আসল ঘটনা কি হইছে একমাত্র কর্মচারী আর আল্লাহ ছাড়া কেউ জানে না। এখন এই অবস্থায় বাসায় রান্না করে খাওয়া টাই উচিত বলে মনে হচ্ছে
Ranar Touhid,ভোক্তা অধিকার lite
Abdullah M. Kushan,Lab test aste eto din lage?
Karigar Media,Kacchi vhaier kacchi testy na
Sabrina Sadia,jonokhonto ra taka cheyeche? income tax?
Habib Khan,"What a smart way to clean their name , they just paid rafsan so rafsan can clean their name and by this promotion people will come back again. Wow what a smart way of marketing and win people trust at the same time"
Sahad Ahmed,rafsan re taka dise tau sultans dine e gese niceeeeee bangali asolei takar khasi
SHIKDER MD ROBIN,"Unexpected justice from Rafsan! I was thinking him as an honest food blogger but from today how he manipulated in the last part of this video, it was just a shame. 
We all know deep inside that actually it’s mutton not other animals, Bhai seriously, What’s the point? Why a sultan dine would do that? Mutton is not that expensive compare to their biriyani price right?"
S A Sabbir,Ami taw vlo khai nai
Shifat Al Islam,Halal certificate die den
Rajib Ahamad,ভাই সুলতান কত টাকা দিছে আপনাকে। প্লিজ জানাবেন
KnowledgeWave,আমার কুকুর টা কে ২দিন ধরে খুজে পাচ্ছি না!
poggyi,Yes bro Bangladesh amon i
Evil Herobrine,Hotel in ohio
rain andsnow19,7:48
Neel,Bhai akhon mone hoche ja sultan dines nijeder brand ad ar jonno atto kokor ar tal korse ... nijerai lol
MD. SARWAR HOSSAIN,9:52
Shakib Hasan,U said well bro. Smart corrupted country
KHADIZA RANI,Sobar samney onader boleyn khabar try kortey .dekhanor jonno.
Rahid Islam,Rapsan vai eto kicu nah kore forensic test korle to hoy Jamela sesh Asole Bangladesh mane
Sujon Roy,Vai amar khasi ta harai gese
Hridoy,kutta or khasi doesnt matter as long there is meat
TahmidShadow,Lol
SN Saajid,Amader Bangladesh 🇧🇩
Foods Factory,"মোটামুটি সব ইউটিউবার দের তারা টাকাবমেরেছে, এছারা এই বিপদ থেকে রেহাই পাওয়ার উপায় নেই"
Abdur Rahman,dowa roilo sobar jonno
Md Saifulislam,ফাওখাওনের লাইগা ভাইয়া তুমি তো পাতিলের লগেতুমি তাদের  চাকরির পেটে হাত দিয়া দিছো মিয়া
Risuva66,Adar achorom onk vlo
SYNTAX GAMER FF,10:30
Siam Haque,9:12
Otp Iase,Lol
💰 Instant $740 Daily With Olivia,If you're going through hell keep going. ﹥﹥Winston Churchill
Sakil Ahmed,Showing them memes and trolls doesn't make a sense.
zerin Nushrat,eijinonnoi..tomake...eto..valolage...khati..kotha..bolo..alwz
Utso Op,"ভাই আপনাকে কতো টাকা দিয়েছে
সুলতান ডাইন"
REZ CO,2021 সালে আমরা ছাগল কিনে ছিলাম গরুর বদলে ছাগল টা কিন্তু অনেক বড় ছিল সেখানে এরকম ছোট ছোট হার ছিল ছাগলের মাংস এমনিতে মজা কম গরুর মাংসের তুলনায় তাই বলে কুত্তার মাংস
Mahmud Iqbal,"রাফসান তুমি ভিডিও এর প্রথম ১ মিনিটের মধ্যে যে বললা, ""কুত্তা রাস্তায় নেমে গেছি, সুলতান ডাইন কী করতাছে ""। এ কথাটা কাদের বললা??"
Kenil Hornel,Tara kaj korbe ki dekhaia korbe
saiful sany,Vai sultan dain sotti batper...or manus k kharap khaber khowai..bujlen..
Troxic Hyper,free ta mangsho kheye nilo 6:14
hello music,DRMC er video ta kobe charben ???
Resal Ahmed,Paid vedio rafsan vai
Abdullah Al Hussain,"এইটা একটা বিজনেস পলিছি
যারা সুলতান ডাইন্স চিনতো না তারা ও এখন চিনেছে"
aiyad alif,Bhai apni already boro e achen apni ar ektu boro hoile toh Bura hoiye jaben
Samanta Mehjaabin,Vai lab e test Koran na please
Adib Muntaha Shah,
Samim Ajmain Rafi,Apne ekhon bhalo ekta eye
kazi Jisun,vai ajke amar ak ta dog pacci na .
সোনার বাংলা,আমার একটা কুত্তা আছে
Shahriar Bin,Tui haat dhos nai beta!?
Meena Moujit,হোটেলের বিরিয়ানি খাওয়া বনদ কর
Mamun sikder Sikder,আমার মনে হয় না কুকুরের মাংস কোন হোটেলে খাওয়াবে কিছু কিছু থাকতে পারে
Funny Fun,খাবারও খাইলেন টাকা নিলেন।
Mojammel Vines,7:44 uni j mittha bole bujhai jay
Md babu,Rafsan inbox korba???
Mt Sabbir,"সাংবাদিক কে পকেটে নিবে কেন ?
তোমারে তো ঠিকই টাকা দিয়ে ভিডিও বানাইছে । পাবলিক কি এইটা বুঝে না"
Edite_ Master,Vaiya on are bolten je apni aktu khaiya dekhan
Shakib,3:30
Afnan,No Sultan dine is good bro
zahid hossain,২৫০ কেজি খাসির মাংসের সাথে ৫০ কেজি অন্য প্রানীর মাংস মিশিয়ে রান্না করলে সেটা ধরা অসম্ভব কারন প্রতিদিন কে ল্যাব টেস্ট করাবে?  সব কাচ্চির ব্যাপারেই একই অবস্থা
nahim etc,je jai kok sultan dine ar kacchi moja ace
Mr. Kumar,"Kukurer mangso hoile to vai khaito na goile...
Tai na?"
MD MOZAMMEL,Vai jan apnar camerar nam ki
"Traveling VLOG,FANS",কুকুরের মাংস  রান্না ও হয় ....
AHNAF HOSSAIN,"Manush famous hoile fatrami barray dey 
Rafsan is the perfect example"
fahim khandokar mim,Ami kokhonoi kabo naaa.........ai sultan a
Syed Rezwanur Rahman,"Keysher mangsho Jani na,Tobey are biriyani dokan theykey khabo na.shudu Beyer dawat thakley onno kotha."
F. Md. Tamal,ঘেটো নিগা থাগ লাইফ
Israfel mafuj,"এখন এই ছেলেটা এমনিতেই ফালতু  আবার নিজের গেছে দেখতে, কেন এই সব দেখতে তো পুলিশ বা সরকারি লোক আছে সব কিছু তেই বেশি"
BTS Bangla Dubbing,2:00
Himel Rashid,Tmre tk diya sponsore korle thiki sultan dines ar sunam korta ...tk dile tmio change hoia jaita rafsaan ...eta Bangladesh tk diya sob i hoy
Sujoy game zone,invite vojon bari Patuakhali
JITU EXPLORER,Sultan kacchi️ Joto khacchi aram pacchi.
Md Showkot,Close All the Branch
Showmick lofi & slow,ভাই এই ঝামেলা মিটমাট এর জন্য আফরিদি ভাইরে আনা হোক
Shahinur Islam,bro dna test koren ?
Sayed Wahid Ahmed,Punojonom 4 is sultan dine....
Rofique Ullah,Asholei taka diye shb possible Bangladesh e
Atrackty,bruh apni akhono boro hon nai
Md. Chow.,"Sultan aamaar naam,"
Md. Iftekhar Hossain,AGM সাহেব তো ভাজা মাছটিও উল্টে খেতে জানেন না। তাঁকে এতো কঠিন প্রশ্ন করো কেন?
SAHIL*,4:29
Mahin Rahman 2.0,Vai Tumi ki Manush hobe na ?
monir zaman,"আপনার শেষের কথাগুলো ঠিক আছে? কিন্তু সব থেকে বড় আদালত হচ্ছে নিজের বিবেক। যে যেরকম কর্ম করবে সে সেই রকম ফলই পাবে, আজ অতবা কাল। আর স্বর্গ অথবা নরক অথবা বেহেশত অথবা দোজখ এসব কথা না হয় নাই বলললাম।"
Minhazul Raiyan,AGM er pichoner loktar reaction dekhlei bujha jay
BD Gang,Rafsan er koliza onak boro or sahos ace
Arifur Rahman,Manager r AGM ke chikon haddir gosto khete bola uchit chilo...
Sabbir Ahmed,Marketing শুরু হয়ে গেছে  টাকার কাছে স্পব বেচেঁ দিস তোরা
Jamal Uddin,Last part motovaton
SAHIL*,4:00
Adventure Land Park,background music so high
Araf Sabil,আপনার উচিত ছিল কাচা মাংস সংগ্রহ করে লেবে পরিক্ষা করানো।
Azam Rafi,5:00
144M ANIME - 1.1M views. 7 hours ago,Bhai apni abar mota hoie jaccen
Abdun Noor,নো চেন্জ আফটার ইওর ভিজিট
rubaiyat kahn,Malik jorito noy staffer karshazi vet doctor bone dekley buzbeh 6 kg boleh  shikar kora
Jerry Hazra,Agm beta tar  kotha kemon jani mitha mitha
saiful sany,Sultan dain ar manager k dakle e mone hoi j oi batper..or  kother moddhe e batpare bujlen..
Rahat Sikder,vai. Tangail gatail Dhalapara Monose marse Wednesday
Shafiul Islam,"Khubi lame ekta content chilo eita 
Ekta controversy hoiche oi jaigay giae meme dekhanor bepar ta reasonable na ashole ar thumbnail ow khub cheezy hoiche .
Ami sudhu ei content er bepar ta boltechi so don't take it personally"
Ash Hanz,"CID er daya, avijit er chakri khaya diba naki choto vai 🫡"
Akramul Islam,"রাফসান আসে  নাই। 
আর উনি বলছে সুলতান ডাইনের ফ্যানস কয়েক বার দেখছে। 
তারপর ভিডিও তে দেখছে। 
রাফসান জীবনেও বানাই নাই ভিডিও।"
Zaman Sarkar,১০ হাজার টাকা কি সুলতানস এর কাছে ঘুষ চাইতে পারে? ১০ হাজার কি কেউ ঘুষ চায়?
first touch game,Rafsan tumi to mota howe jaiteco
Saikul Islam Takbir,সুলতানস ডাইন যেটাই করুক না কেন....এই কয়েকদিন সুলতানস ডাইনের খাবার খাবেন কারন ওরা এই মুহুর্তে  ভুলেও খারাপ কিছু খাওয়াবে না
King Fayaiz,"Bear Grylls be like : Finally a worthy restaurant in Bangladesh||This battle gonna be legendary!!|This food gonna be legendary||Bruh, even Bear Grylls himself would feel disgusted.|Legend||Nice jokes||"
Fabiha Ashrafi Esha,"9:12 this guy seriously doesn't lose a chance to make us laugh, not caring about what the situation is"
taewxffles,"The ending bro from 10:01 you got me,we need more people like you to save this country from immortality ️keep it up bro!"
Shiyam Khaled Chowdhury,Rafsan seriously started showing them memes when they are about to lose their entire business!! Props to that guy for keeping his cool!
Schawonn Momin,Thanks to you for allegorically meaning something bigger here...My county needs justice
Shumz World,শেষের কথাগুলি বুকে লাগলে। একদম ঠিক বলেছেন। এই দেশে বড় লোকেরা গাড়ি দিয়ে মানুষ মেরে ফেলে কিছুই হয় না আর এটা তো কুকুর নিয়ে। দেশ আজ কোথায়? খুব কষ্ট হয়।
